,song title,artist,album title,year,duration,bpm,scale,loudness
39,['I Found My Yellow Basket (Single Version)'],"['Ella Fitzgerald', 'Chick Webb And His Orchestra']",['100 Songs For A Centennial'],['2017-04-21'],155.10666666666663,184.5703125,0,-17.467949017705543
50,['The Inch Worm'],['John Coltrane Quartet'],['Coltrane'],['2007-01-01'],376.92,172.265625,0,-11.749591230665652
59,['Maple Leaf Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],191.6266666666667,184.5703125,0,-13.764933955588416
66,['That Certain Feeling'],['George Gershwin'],['Gershwin Plays Gershwin: The Piano Rolls'],['2005-09-13'],167.04,198.76802884615384,0,-17.99326272091159
97,"[""After You've Gone (Live At Philharmonic Auditorium, Los Angeles / 1946)""]","['Charlie Parker', 'Lester Young']",['Bird 100'],['2020-08-28'],457.06666666666666,143.5546875,0,-13.386671030998802
99,"[""Wee (A.K.A. Allen's Alley)""]","['Charlie Parker', 'Dizzy Gillespie', 'Bud Powell', 'Max Roach', 'Charles Mingus']",['Bird 100'],['2020-08-28'],401.48,151.99908088235293,0,-10.942549845693728
107,['Back Home Blues (Take 2 / Alternaet Take)'],['Charlie Parker Quintet'],['Bird 100'],['2020-08-28'],166.5706575963719,184.5703125,0,-12.120530106225432
111,['Klaunstance'],['Charlie Parker'],['Bird 100'],['2020-08-28'],165.09333333333333,151.99908088235293,0,-11.59095426714958
121,"[""Duke's Place""]","['Ella Fitzgerald', 'Duke Ellington']",['100 Songs For A Centennial'],['2017-04-21'],254.57333333333327,161.4990234375,0,-14.067880473353965
122,['Everything Happens To Me'],['Charlie Parker'],['Bird 100'],['2020-08-28'],195.61333333333332,161.4990234375,0,-11.8975510328421
129,['Bethena'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],354.7333333333333,129.19921875,0,-16.323811511328593
135,['Just a Closer Walk With Thee'],['Bruce Katz Band'],['Crescent Crawl'],['1993'],85.608,172.265625,0,-21.85815641982415
141,"[""There's No You""]",['Louis Armstrong'],['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],137.81333333333333,172.265625,0,-15.897027422440445
149,"[""McPherson Is Rehearsin' (To Swing) (Single Version)""]","['Ella Fitzgerald', 'Chick Webb And His Orchestra']",['100 Songs For A Centennial'],['2017-04-21'],186.3733333333333,184.5703125,0,-15.322261335282649
158,['Novelette in Fourths'],['George Gershwin'],['Gershwin Plays Gershwin: The Piano Rolls'],['2005-09-13'],161.49333333333334,184.5703125,0,-21.5652092512761
159,['Soul Eyes'],['John Coltrane Quartet'],['Coltrane'],['2007-01-01'],324.0,161.4990234375,0,-14.932378958812366
165,['Uptown in Orbit'],['Emmet Cohen'],['Uptown in Orbit'],['2022-10-28'],493.0880045351474,151.99908088235293,0,-10.551529039047606
168,"[""Billie's Bounce""]",['Charlie Parker'],['Bird 100'],['2020-08-28'],191.14666666666668,161.4990234375,0,-10.75032051337862
176,['The Easy Winners'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],240.2,151.99908088235293,0,-13.80355045841262
182,"['Scrapple From The Apple (Live At Howard Theater, Washington, D.C., October 18, 1952 / Remastered)']",['Charlie Parker'],['Bird 100'],['2020-08-28'],319.62666666666667,123.046875,0,-16.97629693975117
183,['Constellation'],"['Charlie Parker', 'Miles Davis']",['Bird 100'],['2020-08-28'],149.82666666666665,161.4990234375,0,-11.986191094021605
188,['Lover'],['Charlie Parker'],['Bird 100'],['2020-08-28'],186.6266666666667,135.99917763157896,0,-9.37371751579414
199,['A Sunday Kind Of Love'],['Etta James'],['At Last!'],['2017-11-10'],196.13333333333333,161.4990234375,0,-12.342324189925238
204,"['Hallelujah, I Love Him So']",['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],155.58666666666667,151.99908088235293,0,-10.952934339533298
208,['All I Could Do Was Cry'],['Etta James'],['At Last!'],['2017-11-10'],175.6266666666667,172.265625,0,-12.17503122340884
210,['Distant Hallow'],['Emmet Cohen'],['Uptown in Orbit'],['2022-10-28'],438.7946712018141,123.046875,0,-11.825053633594932
220,['The Ragtime Dance'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],296.26666666666665,161.4990234375,0,-14.92336353556542
231,"[""Ain't That Just Like A Woman""]",['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],162.53333333333333,172.265625,0,-12.898487587913078
232,['Big Boy Blue'],"['Ella Fitzgerald', 'The Mills Brothers']",['100 Songs For A Centennial'],['2017-04-21'],168.26666666666668,161.4990234375,0,-15.83493024771266
233,['Boogie Woogie Baby'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],141.73333333333332,172.265625,0,-16.14794928537723
235,['Leap Frog (Take 11 / Take 6 / Master Take)'],"['Dizzy Gillespie', 'Charlie Parker', 'Thelonious Monk', 'Curly Russell', 'Buddy Rich']",['Bird 100'],['2020-08-28'],157.30666666666667,161.4990234375,0,-14.320021738248348
243,"['A-Tisket, A-Tasket']","['Ella Fitzgerald', 'Chick Webb And His Orchestra']",['100 Songs For A Centennial'],['2017-04-21'],158.78666666666666,161.4990234375,0,-15.427877627787636
246,['Sick And Tired'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],159.0,143.5546875,0,-16.903433333594062
258,['Lester Leaps In'],['Oscar Peterson'],['Plays Count Basie'],['1956-01-01'],236.92,172.265625,0,-15.77010359172505
259,"['On Green Dolphin Street (feat. John Coltrane, Cannonball Adderley & Bill Evans)']","['Miles Davis', 'Bill Evans', 'John Coltrane', 'Cannonball Adderley']",['Kind Of Blue (Legacy Edition)'],['2009-01-15'],589.2,151.99908088235293,0,-15.721827273586426
261,['Pennsylvania 6-5000'],['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],192.72,143.5546875,0,-17.43031314740169
271,['Let The Four Winds Blow'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],138.64,184.5703125,0,-14.92462417538112
275,['Honey Chile'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],110.4,143.5546875,0,-14.78341132661575
282,['Where Did You Stay'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],123.93333333333334,161.4990234375,0,-12.85310800984604
286,['Into Each Life Some Rain Must Fall (Single Version)'],"['The Ink Spots', 'Ella Fitzgerald']",['100 Songs For A Centennial'],['2017-04-21'],188.46666666666667,135.99917763157896,0,-17.080558490915976
289,['And Her Tears Flowed Like Wine'],"['Ella Fitzgerald', 'The Song Spinners']",['100 Songs For A Centennial'],['2017-04-21'],195.38666666666663,151.99908088235293,0,-15.449709531069749
291,['La La (Version #1)'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],130.46666666666667,143.5546875,0,-16.727766514546612
292,['La La'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],124.33333333333331,161.4990234375,0,-14.803884918719506
295,['Dance With Mr. Domino'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],130.2,184.5703125,0,-13.195441482062382
296,['My Happiness'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],198.0,129.19921875,0,-16.01462214689905
302,['Little Mary'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],119.16,151.99908088235293,0,-13.82086023962698
306,['Oh Lady Be Good'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],195.14666666666668,123.046875,0,-14.086150666014433
313,['Black Coffee'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],186.6266666666667,129.19921875,0,-14.072784788807834
317,['Elite Syncopations'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],230.13333333333333,161.4990234375,0,-14.69400460364428
320,['Little Brown Jug (Remastered 2002)'],['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],168.93333333333334,184.5703125,0,-18.155450038711034
322,"[""One O'Clock Jump""]",['Oscar Peterson'],['Plays Count Basie'],['1956-01-01'],346.4266666666667,143.5546875,0,-15.984739988870688
324,['Southside (Alternate 2)'],['Wardell Gray'],"['Wardell Gray Memorial, Vol. 1']",['1953-02-20'],160.70666666666668,129.19921875,0,-15.725996038815426
325,['Stormy Weather'],['Etta James'],['At Last!'],['2017-11-10'],187.66666666666663,172.265625,0,-11.641066217900844
332,"['Lester Leaps In (Live At Carnegie Hall, New York / 1949)']",['Charlie Parker'],['Bird 100'],['2020-08-28'],739.4,129.19921875,0,-13.378361160398594
335,['Thriving From A Riff'],"['Charlie Parker', 'Miles Davis']",['Bird 100'],['2020-08-28'],178.08,117.45383522727272,0,-12.838413261883034
336,"[""Rocker (I'll Remember April) (Live At Carnegie Hall/1950)""]",['Charlie Parker'],['Bird 100'],['2020-08-28'],180.16,117.45383522727272,0,-13.209745557721982
341,"[""Braggin' in Brass""]",['Emmet Cohen'],['Uptown in Orbit'],['2022-10-28'],223.0053514739229,151.99908088235293,0,-13.8792042091389
345,['My Romance'],['Bill Evans'],['Coffee And Cigarettes'],['2023-05-23'],432.08,172.265625,0,-17.110238623927657
346,['Scandal Walk'],['George Gershwin'],['Gershwin Plays Gershwin: The Piano Rolls'],['2005-09-13'],196.7333333333333,184.5703125,0,-21.200560018544717
